nome,estado,latitude,longitude
District of Columbia,DC,38.9047579,-77.0162745
Arizona,AZ,34.275053,-111.660548
Nevada,NV,39.3292329,-116.6313445
Massachusetts,MA,42.161849,-71.4975238
American Samoa,AS,-13.9638307,-170.0822667
Michigan,MI,44.8382251,-85.6650494
Iowa,IA,42.0753593,-93.4958531
Florida,FL,28.4604055,-82.4244507
Commonwealth of the Northern Mariana Islands,MP,16.7974379,145.596871
Arkansas,AR,34.8940208,-92.442699
West Virginia,WV,38.641186,-80.6234555
Georgia,GA,32.6279164,-83.416413
Illinois,IL,40.100603,-89.1500872
Texas,TX,31.4277663,-99.2890858
Guam,GU,13.4427156,144.7693797
Utah,UT,39.3063102,-111.6703458
Mississippi,MS,32.6974745,-89.6553191
Connecticut,CT,41.5751437,-72.7393081
Pennsylvania,PA,40.9011252,-77.8369374
Missouri,MO,38.3569742,-92.4580695
Kentucky,KY,37.5351927,-85.3018362
South Dakota,SD,44.4445721,-100.2270346
New York,NY,42.9197932,-75.5942811
Alabama,AL,32.7436859,-86.8467951
Ohio,OH,40.4097376,-82.7168502
Virginia,VA,37.518265,-78.6759106
Minnesota,MN,46.3164845,-94.1982235
New Hampshire,NH,43.6740331,-71.5738495
Rhode Island,RI,41.5940253,-71.5247213
Washington,WA,47.4148989,-120.5955739
Louisiana,LA,30.902586,-91.7982269
Kansas,KS,38.4938959,-98.3786217
Delaware,DE,38.9932575,-75.4514105
Tennessee,TN,35.8581413,-86.3503468
Wyoming,WY,42.9960991,-107.5514552
North Dakota,ND,47.4504454,-100.4661129
North Carolina,NC,35.5401695,-79.1299556
Colorado,CO,38.9976175,-105.5478283
South Carolina,SC,33.8759382,-80.8583239
Oklahoma,OK,35.5885671,-97.4947073
Indiana,IN,39.9060002,-86.2872672
Vermont,VT,44.0693874,-72.666041
New Jersey,NJ,40.1050485,-74.6580421
California,CA,37.1547352,-119.527746
Oregon,OR,43.9396009,-120.6109266
Idaho,ID,44.3524058,-114.6136821
Nebraska,NE,41.5381096,-99.7949708
United States Virgin Islands,VI,18.0593788,-64.8387617
Wisconsin,WI,44.6273217,-89.7097713
Maine,ME,45.2610943,-69.2136634
Montana,MT,47.0526268,-109.6329861
Maryland,MD,38.9463607,-76.6789663
New Mexico,NM,34.4075783,-106.1126594
