Account  ↑,APHIS Registration Number,State,Fiscal Year,Animal,"COLUMN B: HELD, NOT USED",COLUMN C: USED NO PAIN,COLUMN D: USED PAIN MINIMIZED,COLUMN E: PAIN NOT MINIMIZED
21ST CENTURY MEDICINE INC.,93-R-0430,California (CA),2021,Dogs,,,,
,93-R-0430,California (CA),2021,Cats,,,,
,93-R-0430,California (CA),2021,Guinea Pigs,,,,
,93-R-0430,California (CA),2021,Hamsters,,,,
,93-R-0430,California (CA),2021,Rabbits,9,1,136,0
,93-R-0430,California (CA),2021,Non-Human Primates,,,,
,93-R-0430,California (CA),2021,Sheep,,,,
,93-R-0430,California (CA),2021,Pigs,2,2,41,0
,93-R-0430,California (CA),2021,Other Animals,0,0,0,0
3M COMPANY,41-R-0008,Minnesota (MN),2021,Dogs,0,0,0,0
,41-R-0008,Minnesota (MN),2021,Cats,0,0,0,0
,41-R-0008,Minnesota (MN),2021,Guinea Pigs,0,0,0,0
,41-R-0008,Minnesota (MN),2021,Hamsters,0,0,0,0
,41-R-0008,Minnesota (MN),2021,Rabbits,15,0,0,0
,41-R-0008,Minnesota (MN),2021,Non-Human Primates,0,0,0,0
,41-R-0008,Minnesota (MN),2021,Sheep,0,0,0,0
,41-R-0008,Minnesota (MN),2021,Pigs,0,0,78,0
,41-R-0008,Minnesota (MN),2021,Other Animals,0,0,0,0
"60TH MEDICAL GROUP (A M C), M D S S/S G S E",93-F-0022,California (CA),2021,Dogs,,,,
,93-F-0022,California (CA),2021,Cats,,,,
,93-F-0022,California (CA),2021,Guinea Pigs,,,,
,93-F-0022,California (CA),2021,Hamsters,,,,
,93-F-0022,California (CA),2021,Rabbits,,,,
,93-F-0022,California (CA),2021,Non-Human Primates,,,,
,93-F-0022,California (CA),2021,Sheep,3,0,0,0
,93-F-0022,California (CA),2021,Pigs,0,0,86,0
,93-F-0022,California (CA),2021,Other Animals,0,0,0,0
81ST MEDICAL GROUP,65-F-0001,Mississippi (MS),2021,Dogs,,,,
,65-F-0001,Mississippi (MS),2021,Cats,,,,
,65-F-0001,Mississippi (MS),2021,Guinea Pigs,,,,
,65-F-0001,Mississippi (MS),2021,Hamsters,,,,
,65-F-0001,Mississippi (MS),2021,Rabbits,,,,
,65-F-0001,Mississippi (MS),2021,Non-Human Primates,,,,
,65-F-0001,Mississippi (MS),2021,Sheep,,,,
,65-F-0001,Mississippi (MS),2021,Pigs,0,0,428,0
