estado,total,especie,n_animais,utilizado,dor,droga
AK,25,outras_especies,25,não,não,não
AK,25,gatos,0,não,não,não
AK,25,caes,0,não,não,não
AK,25,cavia_p,0,não,não,não
AK,25,hamsters,0,não,não,não
AK,25,primatas_nao_humanos,0,não,não,não
AK,25,animais_de_fazenda,0,não,não,não
AK,25,porcos,0,não,não,não
AK,25,coelhos,0,não,não,não
AK,25,ovelhas,0,não,não,não
AL,2317,outras_especies,730,não,não,não
AL,2317,gatos,132,não,não,não
AL,2317,caes,141,não,não,não
AL,2317,cavia_p,0,não,não,não
AL,2317,hamsters,0,não,não,não
AL,2317,primatas_nao_humanos,0,não,não,não
AL,2317,animais_de_fazenda,39,não,não,não
AL,2317,porcos,1249,não,não,não
AL,2317,coelhos,23,não,não,não
AL,2317,ovelhas,3,não,não,não
AR,221,outras_especies,5,não,não,não
AR,221,gatos,25,não,não,não
AR,221,caes,94,não,não,não
AR,221,cavia_p,0,não,não,não
AR,221,hamsters,1,não,não,não
AR,221,primatas_nao_humanos,56,não,não,não
AR,221,animais_de_fazenda,0,não,não,não
AR,221,porcos,0,não,não,não
AR,221,coelhos,40,não,não,não
AR,221,ovelhas,0,não,não,não
AZ,150,outras_especies,81,não,não,não
AZ,150,gatos,2,não,não,não
AZ,150,caes,9,não,não,não
AZ,150,cavia_p,0,não,não,não
AZ,150,hamsters,0,não,não,não
AZ,150,primatas_nao_humanos,6,não,não,não
AZ,150,animais_de_fazenda,0,não,não,não
AZ,150,porcos,29,não,não,não
AZ,150,coelhos,4,não,não,não
AZ,150,ovelhas,19,não,não,não
CA,12238,outras_especies,4781,não,não,não
CA,12238,gatos,138,não,não,não
CA,12238,caes,161,não,não,não
CA,12238,cavia_p,104,não,não,não
CA,12238,hamsters,207,não,não,não
CA,12238,primatas_nao_humanos,3596,não,não,não
CA,12238,animais_de_fazenda,692,não,não,não
CA,12238,porcos,47,não,não,não
CA,12238,coelhos,2455,não,não,não
CA,12238,ovelhas,57,não,não,não
CO,979,outras_especies,827,não,não,não
CO,979,gatos,15,não,não,não
CO,979,caes,19,não,não,não
CO,979,cavia_p,44,não,não,não
CO,979,hamsters,16,não,não,não
CO,979,primatas_nao_humanos,0,não,não,não
CO,979,animais_de_fazenda,3,não,não,não
CO,979,porcos,4,não,não,não
CO,979,coelhos,0,não,não,não
CO,979,ovelhas,51,não,não,não
CT,146,outras_especies,125,não,não,não
CT,146,gatos,2,não,não,não
CT,146,caes,0,não,não,não
CT,146,cavia_p,1,não,não,não
