estado,total,especie,n_animais,utilizado,dor,droga,exp_vida_anos,maturidade_sexual,tempo_gestacao,peso,custo_man_unidade
AK,25,outras_especies,25,não,não,não,NA,NA,NA,NA,NA
AK,25,gatos,0,não,não,não,30,289,65,3900,NA
AK,25,caes,0,não,não,não,27,510,63,40000,33.17
AK,25,cavia_p,0,não,não,não,12,66,68,728,2.77
AK,25,hamsters,0,não,não,não,5,101,18,125,1.16
AK,25,primatas_nao_humanos,0,não,não,não,37,1363,166,17319,NA
AK,25,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
AK,25,porcos,0,não,não,não,27,334,115,130000,34.97
AK,25,coelhos,0,não,não,não,13,730,30,1800,5.96
AK,25,ovelhas,0,não,não,não,23,548,146,80000,31.09
AL,2317,outras_especies,730,não,não,não,NA,NA,NA,NA,NA
AL,2317,gatos,132,não,não,não,30,289,65,3900,NA
AL,2317,caes,141,não,não,não,27,510,63,40000,33.17
AL,2317,cavia_p,0,não,não,não,12,66,68,728,2.77
AL,2317,hamsters,0,não,não,não,5,101,18,125,1.16
AL,2317,primatas_nao_humanos,0,não,não,não,37,1363,166,17319,NA
AL,2317,animais_de_fazenda,39,não,não,não,NA,NA,NA,NA,NA
AL,2317,porcos,1249,não,não,não,27,334,115,130000,34.97
AL,2317,coelhos,23,não,não,não,13,730,30,1800,5.96
AL,2317,ovelhas,3,não,não,não,23,548,146,80000,31.09
AR,221,outras_especies,5,não,não,não,NA,NA,NA,NA,NA
AR,221,gatos,25,não,não,não,30,289,65,3900,NA
AR,221,caes,94,não,não,não,27,510,63,40000,33.17
AR,221,cavia_p,0,não,não,não,12,66,68,728,2.77
AR,221,hamsters,1,não,não,não,5,101,18,125,1.16
AR,221,primatas_nao_humanos,56,não,não,não,37,1363,166,17319,NA
AR,221,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
AR,221,porcos,0,não,não,não,27,334,115,130000,34.97
AR,221,coelhos,40,não,não,não,13,730,30,1800,5.96
AR,221,ovelhas,0,não,não,não,23,548,146,80000,31.09
AZ,150,outras_especies,81,não,não,não,NA,NA,NA,NA,NA
AZ,150,gatos,2,não,não,não,30,289,65,3900,NA
AZ,150,caes,9,não,não,não,27,510,63,40000,33.17
AZ,150,cavia_p,0,não,não,não,12,66,68,728,2.77
AZ,150,hamsters,0,não,não,não,5,101,18,125,1.16
AZ,150,primatas_nao_humanos,6,não,não,não,37,1363,166,17319,NA
AZ,150,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
AZ,150,porcos,29,não,não,não,27,334,115,130000,34.97
AZ,150,coelhos,4,não,não,não,13,730,30,1800,5.96
AZ,150,ovelhas,19,não,não,não,23,548,146,80000,31.09
CA,12238,outras_especies,4781,não,não,não,NA,NA,NA,NA,NA
CA,12238,gatos,138,não,não,não,30,289,65,3900,NA
CA,12238,caes,161,não,não,não,27,510,63,40000,33.17
CA,12238,cavia_p,104,não,não,não,12,66,68,728,2.77
CA,12238,hamsters,207,não,não,não,5,101,18,125,1.16
CA,12238,primatas_nao_humanos,3596,não,não,não,37,1363,166,17319,NA
CA,12238,animais_de_fazenda,692,não,não,não,NA,NA,NA,NA,NA
CA,12238,porcos,47,não,não,não,27,334,115,130000,34.97
CA,12238,coelhos,2455,não,não,não,13,730,30,1800,5.96
CA,12238,ovelhas,57,não,não,não,23,548,146,80000,31.09
CO,979,outras_especies,827,não,não,não,NA,NA,NA,NA,NA
CO,979,gatos,15,não,não,não,30,289,65,3900,NA
CO,979,caes,19,não,não,não,27,510,63,40000,33.17
CO,979,cavia_p,44,não,não,não,12,66,68,728,2.77
CO,979,hamsters,16,não,não,não,5,101,18,125,1.16
CO,979,primatas_nao_humanos,0,não,não,não,37,1363,166,17319,NA
CO,979,animais_de_fazenda,3,não,não,não,NA,NA,NA,NA,NA
CO,979,porcos,4,não,não,não,27,334,115,130000,34.97
CO,979,coelhos,0,não,não,não,13,730,30,1800,5.96
CO,979,ovelhas,51,não,não,não,23,548,146,80000,31.09
CT,146,outras_especies,125,não,não,não,NA,NA,NA,NA,NA
CT,146,gatos,2,não,não,não,30,289,65,3900,NA
CT,146,caes,0,não,não,não,27,510,63,40000,33.17
CT,146,cavia_p,1,não,não,não,12,66,68,728,2.77
CT,146,hamsters,0,não,não,não,5,101,18,125,1.16
CT,146,primatas_nao_humanos,16,não,não,não,37,1363,166,17319,NA
CT,146,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
CT,146,porcos,0,não,não,não,27,334,115,130000,34.97
CT,146,coelhos,2,não,não,não,13,730,30,1800,5.96
CT,146,ovelhas,0,não,não,não,23,548,146,80000,31.09
DC,571,outras_especies,0,não,não,não,NA,NA,NA,NA,NA
DC,571,gatos,18,não,não,não,30,289,65,3900,NA
DC,571,caes,0,não,não,não,27,510,63,40000,33.17
DC,571,cavia_p,142,não,não,não,12,66,68,728,2.77
DC,571,hamsters,37,não,não,não,5,101,18,125,1.16
DC,571,primatas_nao_humanos,361,não,não,não,37,1363,166,17319,NA
DC,571,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
DC,571,porcos,5,não,não,não,27,334,115,130000,34.97
DC,571,coelhos,8,não,não,não,13,730,30,1800,5.96
DC,571,ovelhas,0,não,não,não,23,548,146,80000,31.09
DE,4154,outras_especies,0,não,não,não,NA,NA,NA,NA,NA
DE,4154,gatos,0,não,não,não,30,289,65,3900,NA
DE,4154,caes,0,não,não,não,27,510,63,40000,33.17
DE,4154,cavia_p,0,não,não,não,12,66,68,728,2.77
DE,4154,hamsters,0,não,não,não,5,101,18,125,1.16
DE,4154,primatas_nao_humanos,0,não,não,não,37,1363,166,17319,NA
DE,4154,animais_de_fazenda,140,não,não,não,NA,NA,NA,NA,NA
DE,4154,porcos,0,não,não,não,27,334,115,130000,34.97
DE,4154,coelhos,3960,não,não,não,13,730,30,1800,5.96
DE,4154,ovelhas,54,não,não,não,23,548,146,80000,31.09
FL,4875,outras_especies,832,não,não,não,NA,NA,NA,NA,NA
FL,4875,gatos,30,não,não,não,30,289,65,3900,NA
FL,4875,caes,14,não,não,não,27,510,63,40000,33.17
FL,4875,cavia_p,1,não,não,não,12,66,68,728,2.77
FL,4875,hamsters,66,não,não,não,5,101,18,125,1.16
FL,4875,primatas_nao_humanos,3923,não,não,não,37,1363,166,17319,NA
FL,4875,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
FL,4875,porcos,5,não,não,não,27,334,115,130000,34.97
FL,4875,coelhos,0,não,não,não,13,730,30,1800,5.96
FL,4875,ovelhas,4,não,não,não,23,548,146,80000,31.09
GA,2697,outras_especies,787,não,não,não,NA,NA,NA,NA,NA
GA,2697,gatos,11,não,não,não,30,289,65,3900,NA
GA,2697,caes,0,não,não,não,27,510,63,40000,33.17
GA,2697,cavia_p,0,não,não,não,12,66,68,728,2.77
GA,2697,hamsters,12,não,não,não,5,101,18,125,1.16
GA,2697,primatas_nao_humanos,1880,não,não,não,37,1363,166,17319,NA
GA,2697,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
GA,2697,porcos,0,não,não,não,27,334,115,130000,34.97
GA,2697,coelhos,7,não,não,não,13,730,30,1800,5.96
GA,2697,ovelhas,0,não,não,não,23,548,146,80000,31.09
HI,0,outras_especies,0,não,não,não,NA,NA,NA,NA,NA
HI,0,gatos,0,não,não,não,30,289,65,3900,NA
HI,0,caes,0,não,não,não,27,510,63,40000,33.17
HI,0,cavia_p,0,não,não,não,12,66,68,728,2.77
HI,0,hamsters,0,não,não,não,5,101,18,125,1.16
HI,0,primatas_nao_humanos,0,não,não,não,37,1363,166,17319,NA
HI,0,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
HI,0,porcos,0,não,não,não,27,334,115,130000,34.97
HI,0,coelhos,0,não,não,não,13,730,30,1800,5.96
HI,0,ovelhas,0,não,não,não,23,548,146,80000,31.09
IA,2945,outras_especies,291,não,não,não,NA,NA,NA,NA,NA
IA,2945,gatos,0,não,não,não,30,289,65,3900,NA
IA,2945,caes,2,não,não,não,27,510,63,40000,33.17
IA,2945,cavia_p,0,não,não,não,12,66,68,728,2.77
IA,2945,hamsters,82,não,não,não,5,101,18,125,1.16
IA,2945,primatas_nao_humanos,0,não,não,não,37,1363,166,17319,NA
IA,2945,animais_de_fazenda,122,não,não,não,NA,NA,NA,NA,NA
IA,2945,porcos,2444,não,não,não,27,334,115,130000,34.97
IA,2945,coelhos,3,não,não,não,13,730,30,1800,5.96
IA,2945,ovelhas,1,não,não,não,23,548,146,80000,31.09
ID,292,outras_especies,282,não,não,não,NA,NA,NA,NA,NA
ID,292,gatos,2,não,não,não,30,289,65,3900,NA
ID,292,caes,1,não,não,não,27,510,63,40000,33.17
ID,292,cavia_p,0,não,não,não,12,66,68,728,2.77
ID,292,hamsters,0,não,não,não,5,101,18,125,1.16
ID,292,primatas_nao_humanos,0,não,não,não,37,1363,166,17319,NA
ID,292,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
ID,292,porcos,0,não,não,não,27,334,115,130000,34.97
ID,292,coelhos,7,não,não,não,13,730,30,1800,5.96
ID,292,ovelhas,0,não,não,não,23,548,146,80000,31.09
IL,791,outras_especies,375,não,não,não,NA,NA,NA,NA,NA
IL,791,gatos,26,não,não,não,30,289,65,3900,NA
IL,791,caes,99,não,não,não,27,510,63,40000,33.17
IL,791,cavia_p,15,não,não,não,12,66,68,728,2.77
IL,791,hamsters,0,não,não,não,5,101,18,125,1.16
IL,791,primatas_nao_humanos,126,não,não,não,37,1363,166,17319,NA
IL,791,animais_de_fazenda,18,não,não,não,NA,NA,NA,NA,NA
IL,791,porcos,14,não,não,não,27,334,115,130000,34.97
IL,791,coelhos,107,não,não,não,13,730,30,1800,5.96
IL,791,ovelhas,11,não,não,não,23,548,146,80000,31.09
IN,844,outras_especies,256,não,não,não,NA,NA,NA,NA,NA
IN,844,gatos,17,não,não,não,30,289,65,3900,NA
IN,844,caes,70,não,não,não,27,510,63,40000,33.17
IN,844,cavia_p,68,não,não,não,12,66,68,728,2.77
IN,844,hamsters,328,não,não,não,5,101,18,125,1.16
IN,844,primatas_nao_humanos,89,não,não,não,37,1363,166,17319,NA
IN,844,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
IN,844,porcos,2,não,não,não,27,334,115,130000,34.97
IN,844,coelhos,14,não,não,não,13,730,30,1800,5.96
IN,844,ovelhas,0,não,não,não,23,548,146,80000,31.09
KS,209,outras_especies,3,não,não,não,NA,NA,NA,NA,NA
KS,209,gatos,47,não,não,não,30,289,65,3900,NA
KS,209,caes,114,não,não,não,27,510,63,40000,33.17
KS,209,cavia_p,12,não,não,não,12,66,68,728,2.77
KS,209,hamsters,1,não,não,não,5,101,18,125,1.16
KS,209,primatas_nao_humanos,10,não,não,não,37,1363,166,17319,NA
KS,209,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
KS,209,porcos,15,não,não,não,27,334,115,130000,34.97
KS,209,coelhos,7,não,não,não,13,730,30,1800,5.96
KS,209,ovelhas,0,não,não,não,23,548,146,80000,31.09
KY,494,outras_especies,171,não,não,não,NA,NA,NA,NA,NA
