estado,Nanimais,NUniversidades
AK,377,10
AL,7695,83
AR,3878,88
AZ,5253,120
CA,80997,718
CO,9831,99
CT,2862,73
DC,18401,26
DE,11295,19
FL,13336,363
GA,23828,150
HI,330,24
IA,18303,80
ID,802,41
IL,14627,257
IN,20928,111
KS,4758,77
KY,2228,89
LA,13293,115
MA,71766,153
MD,66386,84
ME,1020,38
MI,50274,172
MN,47233,100
MO,43138,155
MS,921,56
MT,1461,32
NC,27161,169
ND,969,27
NE,1696,43
NH,1361,38
NJ,73347,168
NM,4291,49
NV,1095,40
NY,24871,450
OH,64621,286
OK,5511,105
OR,7384,80
PA,36614,343
PR,4840,161
RI,485,23
SC,6846,98
SD,1068,29
TN,6328,157
TX,57206,432
UT,3786,70
VA,10442,149
VT,2506,22
WA,32551,103
WI,43383,92
WV,4365,73
WY,308,10
