estado,total,especie,n_animais
AK,352,outras_especies,352
AK,352,gatos,0
AK,352,caes,0
AK,352,cavia_p,0
AK,352,hamsters,0
AK,352,primatas_nao_humanos,0
AK,352,animais_de_fazenda,0
AK,352,porcos,0
AK,352,coelhos,0
AK,352,ovelhas,0
AL,5378,outras_especies,1547
AL,5378,gatos,444
AL,5378,caes,1355
AL,5378,cavia_p,15
AL,5378,hamsters,223
AL,5378,primatas_nao_humanos,360
AL,5378,animais_de_fazenda,95
AL,5378,porcos,406
AL,5378,coelhos,802
AL,5378,ovelhas,131
AR,3657,outras_especies,44
AR,3657,gatos,41
AR,3657,caes,711
AR,3657,cavia_p,3
AR,3657,hamsters,1
AR,3657,primatas_nao_humanos,151
AR,3657,animais_de_fazenda,6
AR,3657,porcos,1997
AR,3657,coelhos,703
AR,3657,ovelhas,0
AZ,5103,outras_especies,1765
AZ,5103,gatos,801
AZ,5103,caes,1526
AZ,5103,cavia_p,46
AZ,5103,hamsters,54
AZ,5103,primatas_nao_humanos,29
AZ,5103,animais_de_fazenda,218
AZ,5103,porcos,329
AZ,5103,coelhos,150
AZ,5103,ovelhas,185
CA,68759,outras_especies,13295
CA,68759,gatos,2216
CA,68759,caes,5504
CA,68759,cavia_p,9729
CA,68759,hamsters,1804
CA,68759,primatas_nao_humanos,3404
CA,68759,animais_de_fazenda,3067
CA,68759,porcos,6163
CA,68759,coelhos,21987
CA,68759,ovelhas,1590
CO,8852,outras_especies,1520
CO,8852,gatos,357
CO,8852,caes,1082
CO,8852,cavia_p,2907
CO,8852,hamsters,464
CO,8852,primatas_nao_humanos,1
CO,8852,animais_de_fazenda,503
CO,8852,porcos,365
CO,8852,coelhos,1218
CO,8852,ovelhas,435
CT,2716,outras_especies,1231
CT,2716,gatos,0
CT,2716,caes,240
CT,2716,cavia_p,78
CT,2716,hamsters,547
CT,2716,primatas_nao_humanos,328
CT,2716,animais_de_fazenda,0
CT,2716,porcos,202
CT,2716,coelhos,89
CT,2716,ovelhas,1
DC,17830,outras_especies,16180
DC,17830,gatos,15
DC,17830,caes,13
DC,17830,cavia_p,545
DC,17830,hamsters,201
DC,17830,primatas_nao_humanos,164
DC,17830,animais_de_fazenda,115
DC,17830,porcos,305
DC,17830,coelhos,292
DC,17830,ovelhas,0
DE,7141,outras_especies,12
DE,7141,gatos,57
DE,7141,caes,69
DE,7141,cavia_p,67
DE,7141,hamsters,0
DE,7141,primatas_nao_humanos,0
DE,7141,animais_de_fazenda,508
DE,7141,porcos,0
DE,7141,coelhos,6387
DE,7141,ovelhas,41
FL,8461,outras_especies,3280
FL,8461,gatos,414
FL,8461,caes,675
FL,8461,cavia_p,869
FL,8461,hamsters,90
FL,8461,primatas_nao_humanos,1322
FL,8461,animais_de_fazenda,344
FL,8461,porcos,1128
FL,8461,coelhos,173
FL,8461,ovelhas,166
GA,21131,outras_especies,4118
GA,21131,gatos,801
GA,21131,caes,2369
GA,21131,cavia_p,1265
GA,21131,hamsters,5503
GA,21131,primatas_nao_humanos,2242
GA,21131,animais_de_fazenda,53
GA,21131,porcos,701
GA,21131,coelhos,3997
GA,21131,ovelhas,82
HI,330,outras_especies,2
HI,330,gatos,88
HI,330,caes,122
HI,330,cavia_p,0
HI,330,hamsters,77
HI,330,primatas_nao_humanos,0
HI,330,animais_de_fazenda,0
HI,330,porcos,11
HI,330,coelhos,12
HI,330,ovelhas,18
IA,15358,outras_especies,861
IA,15358,gatos,306
IA,15358,caes,652
IA,15358,cavia_p,730
IA,15358,hamsters,9655
IA,15358,primatas_nao_humanos,5
IA,15358,animais_de_fazenda,134
IA,15358,porcos,1393
IA,15358,coelhos,1013
IA,15358,ovelhas,609
ID,510,outras_especies,149
ID,510,gatos,66
ID,510,caes,142
ID,510,cavia_p,5
ID,510,hamsters,0
ID,510,primatas_nao_humanos,0
ID,510,animais_de_fazenda,102
ID,510,porcos,3
ID,510,coelhos,43
ID,510,ovelhas,0
IL,13836,outras_especies,2019
IL,13836,gatos,770
IL,13836,caes,2124
IL,13836,cavia_p,1945
IL,13836,hamsters,1455
IL,13836,primatas_nao_humanos,764
IL,13836,animais_de_fazenda,439
IL,13836,porcos,1480
IL,13836,coelhos,2114
IL,13836,ovelhas,726
IN,20084,outras_especies,5961
IN,20084,gatos,398
IN,20084,caes,1008
IN,20084,cavia_p,713
IN,20084,hamsters,9698
IN,20084,primatas_nao_humanos,266
IN,20084,animais_de_fazenda,85
IN,20084,porcos,509
IN,20084,coelhos,1256
IN,20084,ovelhas,190
KS,4549,outras_especies,658
KS,4549,gatos,657
KS,4549,caes,1256
KS,4549,cavia_p,1055
KS,4549,hamsters,26
KS,4549,primatas_nao_humanos,146
KS,4549,animais_de_fazenda,144
KS,4549,porcos,381
KS,4549,coelhos,178
KS,4549,ovelhas,48
KY,1734,outras_especies,340
KY,1734,gatos,206
KY,1734,caes,351
KY,1734,cavia_p,67
KY,1734,hamsters,0
KY,1734,primatas_nao_humanos,101
KY,1734,animais_de_fazenda,224
KY,1734,porcos,186
KY,1734,coelhos,204
KY,1734,ovelhas,55
LA,3396,outras_especies,129
LA,3396,gatos,95
LA,3396,caes,469
LA,3396,cavia_p,39
LA,3396,hamsters,0
LA,3396,primatas_nao_humanos,2111
LA,3396,animais_de_fazenda,366
LA,3396,porcos,102
LA,3396,coelhos,85
LA,3396,ovelhas,0
MA,63766,outras_especies,5727
MA,63766,gatos,59
MA,63766,caes,5046
MA,63766,cavia_p,17421
MA,63766,hamsters,4407
MA,63766,primatas_nao_humanos,10583
MA,63766,animais_de_fazenda,799
MA,63766,porcos,5810
MA,63766,coelhos,13567
MA,63766,ovelhas,347
MD,55465,outras_especies,22525
MD,55465,gatos,64
MD,55465,caes,646
MD,55465,cavia_p,12752
MD,55465,hamsters,4554
MD,55465,primatas_nao_humanos,8423
MD,55465,animais_de_fazenda,93
MD,55465,porcos,1779
MD,55465,coelhos,4565
MD,55465,ovelhas,64
ME,894,outras_especies,415
ME,894,gatos,0
ME,894,caes,0
ME,894,cavia_p,0
ME,894,hamsters,0
ME,894,primatas_nao_humanos,0
ME,894,animais_de_fazenda,448
ME,894,porcos,0
